{\rtf1\ansi\ansicpg1252\cocoartf1561\cocoasubrtf610,,,,,,,,,,,,,,,,,,
{\fonttbl\f0\fswiss\fcharset0 Helvetica;},,,,,,,,,,,,,,,,,,
{\colortbl;\red255\green255\blue255;},,,,,,,,,,,,,,,,,,
{\*\expandedcolortbl;;},,,,,,,,,,,,,,,,,,
\margl1440\margr1440\vieww10800\viewh8400\viewkind0,,,,,,,,,,,,,,,,,,
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
\f0\fs24 \cf0 #id,title,formula,class,total_number,atom_type,tool,potential,bandgap[eV],dielectric_total,dielectric_electron,dielectric_ion,atomization_energy[eV/atom],total_energy[eV],cutoff_energy[eV],k-points,author,SMILES\,
3297,Polyethylene,C42H84,,126,2,VASP 5,PBE,,,,,,,400,2x2x2,Lihua Chen (lhc0807@gmail.com),\,
3296,Polyethylene,C41H82,,123,2,VASP 5,PBE,,,,,,,400,2x2x2,Lihua Chen (lhc0807@gmail.com),\,
3295,Polyethylene,C40H80,,120,2,VASP 5,PBE,,,,,,,400,2x2x2,Lihua Chen (lhc0807@gmail.com),\,
3294,Polyethylene,C40H80,,120,2,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3293,Polyethylene,C40H80,,120,2,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3292,Polyethylene,C40H80,,120,2,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3291,Polyethylene,C40H80,,120,2,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3290,Polyethylene,C40H80,,120,2,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3289,Polyethylene,C40H80,,120,2,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3288,Polyethylene,C40H80,,120,2,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3287,Polyethylene,C4H8,,12,2,VASP 5,PBE,,,,,,,1000,4x4x10,Lihua Chen (lhc0807@gmail.com),\,
3277,C4F8O4,C4F8O4,organic_polymer_crystal,16,3,VASP-5.X,PAW,7.52,3.80303,2.43236,1.37068,-5.25,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)OC(F)(F)O\
3276,C4F8H2N2O2,C4F8H2N2O2,organic_polymer_crystal,18,5,VASP-5.X,PAW,6.84,4.04237,2.53946,1.5029,-5.29,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)NC(F)(F)O\
3275,C4F8H4N4,C4F8H4N4,organic_polymer_crystal,20,4,VASP-5.X,PAW,6.22,4.42789,2.66713,1.76076,-5.31,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)NC(F)(F)N\
3274,C6F8H2S2N2,C6F8H2S2N2,organic_polymer_crystal,20,5,VASP-5.X,PAW,1.27,4.48971,3.19659,1.29312,-5.29,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)NC(F)(F)C(=S)\
3273,C6F8H2O2N2,C6F8H2O2N2,organic_polymer_crystal,20,5,VASP-5.X,PAW,3.09,4.75307,2.64158,2.11148,-5.56,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)NC(F)(F)C(=O)\
3272,C16H10F8N2,C16H10F8N2,organic_polymer_crystal,36,4,VASP-5.X,PAW,3.34,3.77165,3.03531,0.73634,-5.88,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)NC(F)(F)C(C=C1)=CC=C1\
3271,C12H6F8N2S2,C12H6F8N2S2,organic_polymer_crystal,30,5,VASP-5.X,PAW,2.63,4.47834,3.15798,1.32037,-5.66,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)NC(F)(F)C1=CSC(=C1)\
3270,C6S2O2F8,C6S2O2F8N2,organic_polymer_crystal,20,4,VASP-5.X,PAW,1.33,3.60359,2.8065,0.79709,-5.24,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(=S)C(F)(F)O\
3269,C6F8O4,C6F8O4N2,organic_polymer_crystal,20,3,VASP-5.X,PAW,3.16,3.55062,2.49852,1.0521,-5.57,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(=O)C(F)(F)O\
3268,C8F8O4,C8F8O4N2S2,organic_polymer_crystal,24,3,VASP-5.X,PAW,1.25,3.76647,2.66608,1.10039,-5.77,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(=O)C(F)(F)C(=O)\
3267,C18H8F8O2,C18H8F8O2,organic_polymer_crystal,36,4,VASP-5.X,PAW,2.12,3.5665,3.01907,0.54743,-6.01,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(=O)C(F)(F)C(C=C1)=CC=C1\
3266,C14H4F8O2S2,C14H4F8O2S2,organic_polymer_crystal,30,5,VASP-5.X,PAW,1.76,4.04768,3.25153,0.79615,-5.82,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(=O)C(F)(F)C1=CSC(=C1)\
3265,C6F8H4O2,C6F8H4O2,organic_polymer_crystal,20,4,VASP-5.X,PAW,7.91,3.46979,2.50066,0.96912,-5.25,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)CC(F)(F)O\
3264,C6F8H6N2,C6F8H6N2,organic_polymer_crystal,22,4,VASP-5.X,PAW,6.37,3.90398,2.62614,1.27784,-5.26,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)CC(F)(F)N\
3263,C8F8H4S2,C8F8H4S2S2,organic_polymer_crystal,24,4,VASP-5.X,PAW,1.12,3.78425,3.09942,0.68484,-5.2,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)CC(F)(F)C(=S)\
3262,C8F8H4O2,C8F8H4O2,organic_polymer_crystal,22,4,VASP-5.X,PAW,3.01,3.63807,2.59438,1.04369,-5.48,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)CC(F)(F)C(=O)\
3261,C18H12F8,C18H12F8N2,organic_polymer_crystal,40,3,VASP-5.X,PAW,3.34,3.47344,2.97513,0.49832,-5.8,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)CC(F)(F)C(C=C1)=CC=C1\
3260,C14H8F8S2,C14H8F8S2,organic_polymer_crystal,32,4,VASP-5.X,PAW,2.68,3.74836,3.08626,0.6621,-5.59,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)CC(F)(F)C1=CSC(=C1)\
3259,C4H2F8O2N2,C4H2F8O2N2,organic_polymer_crystal,18,5,VASP-5.X,PAW,4.22,3.72763,2.56263,1.165,-5.15,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)ON\
3258,C6H2F8S2N2,C6H2F8S2N2,organic_polymer_crystal,20,5,VASP-5.X,PAW,1.64,3.8117,3.11533,0.69637,-5.29,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)NC(=S)\
3257,C6H2F8O2N2,C6H2F8O2N2,organic_polymer_crystal,20,5,VASP-5.X,PAW,3.64,3.52542,2.69625,0.82917,-5.65,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)NC(=O)\
3256,C16H10F8N2,C16H10F8N2N2,organic_polymer_crystal,38,4,VASP-5.X,PAW,2.94,3.9166,3.21648,0.70012,-5.86,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)NC(C=C1)=CC=C1\
3255,C12H6F8N2S2,C12H6F8N2S2,organic_polymer_crystal,30,5,VASP-5.X,PAW,2.44,4.49743,3.46715,1.03028,-5.66,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)NC1=CSC(=C1)\
3254,C6F8S2O2,C6F8S2O2N2,organic_polymer_crystal,20,4,VASP-5.X,PAW,1.8,3.68014,2.93855,0.74159,-5.26,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)C(=S)O\
3253,C6F8O4,C6F8O4N2,organic_polymer_crystal,20,3,VASP-5.X,PAW,3.91,3.30619,2.52158,0.78461,-5.64,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)C(=O)O\
3252,C8F8O2S2,C8F8O2S2,organic_polymer_crystal,20,4,VASP-5.X,PAW,0.22,4.7466,3.93344,0.81316,-5.51,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)C(=O)C(=S)\
3251,C18H8F8O2,C18H8F8O2,organic_polymer_crystal,36,4,VASP-5.X,PAW,2.39,3.84515,3.30312,0.54203,-6.03,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)C(=O)C(C=C1)=CC=C1\
3250,C14H4F8O2S2,C14H4F8O2S2,organic_polymer_crystal,30,5,VASP-5.X,PAW,2.02,3.92699,3.35479,0.5722,-5.86,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)C(=O)C1=CSC(=C1)\
3249,C6F8H4O2,C6F8H4O2,organic_polymer_crystal,20,4,VASP-5.X,PAW,6.7,3.502,2.44396,1.05804,-5.23,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)CO\
3248,C6F8H6N2,C6F8H6N2S2,organic_polymer_crystal,24,4,VASP-5.X,PAW,5.8,4.32355,2.54162,1.78194,-5.24,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)CN\
3247,C8H4F8S2,C8H4F8S2,organic_polymer_crystal,22,4,VASP-5.X,PAW,0.834,3.80901,3.12213,0.68688,-5.19,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)CC(=S)\
3246,C8H4F8O2,C8H4F8O2,organic_polymer_crystal,22,4,VASP-5.X,PAW,3.09,3.37151,2.57415,0.79737,-5.5,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)CC(=O)\
3245,C18H12F8,C18H12F8S2,organic_polymer_crystal,40,3,VASP-5.X,PAW,3.81,3.3761,2.9805,0.3956,-5.78,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)CC(C=C1)=CC=C1\
3244,C14H8F8S2,C14H8F8S2,organic_polymer_crystal,32,4,VASP-5.X,PAW,3.3,3.5933,3.12556,0.46774,-5.59,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)CC1=CSC(=C1)\
3243,C16H8F8O2,C16H8F8O2,organic_polymer_crystal,34,4,VASP-5.X,PAW,3.55,3.6332,3.04049,0.59272,-5.89,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)C(C=C1)=CC=C1O\
3242,C18H8F8S2,C18H8F8S2,organic_polymer_crystal,36,4,VASP-5.X,PAW,1.3,4.32899,3.87371,0.45528,-5.85,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)C(C=C1)=CC=C1C(=S)\
3241,C28H16F8,C28H16F8O2,organic_polymer_crystal,54,3,VASP-5.X,PAW,2.41,3.96913,3.61591,0.35322,-6.1,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)C(C=C1)=CC=C1C(C=C2)=CC=C2\
3240,C24H12F8S2,C24H12F8S2,organic_polymer_crystal,46,4,VASP-5.X,PAW,3.08,3.56781,3.17355,0.39426,-5.98,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)C(C=C1)=CC=C1C2=CSC(=C2)\
3239,C12H4F8O2S2,C12H4F8O2S2,organic_polymer_crystal,28,5,VASP-5.X,PAW,2.93,3.89745,3.21263,0.68482,-5.67,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)C1=CSC(=C1)O\
3238,C14H4F8S4,C14H4F8S4,organic_polymer_crystal,30,4,VASP-5.X,PAW,1.13,4.43957,3.94023,0.49934,-5.66,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)C1=CSC(=C1)C(=S)\
3237,C20H8F8S4,C20H8F8S4S2,organic_polymer_crystal,42,4,VASP-5.X,PAW,1.5,4.36453,3.91438,0.45015,-5.87,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(F)(F)C1=CSC(=C1)C2=CSC(=C2)\
3236,C16H8F8O2,C16H8F8O2,organic_polymer_crystal,34,4,VASP-5.X,PAW,3.37,3.6825,2.98216,0.70034,-5.92,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(C=C1)=CC=C1C(F)(F)O\
3235,C18H8F8S2,C18H8F8S2,organic_polymer_crystal,36,4,VASP-5.X,PAW,1.31,3.70065,3.24193,0.45872,-5.84,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(C=C1)=CC=C1C(F)(F)C(=S)\
3234,C28H16F8,C28H16F8O2,organic_polymer_crystal,54,3,VASP-5.X,PAW,3.16,3.81788,3.37251,0.44536,-6.06,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(C=C1)=CC=C1C(F)(F)C(C=C2)=CC=C2\
3233,C24H12F8S2,C24H12F8S2,organic_polymer_crystal,46,4,VASP-5.X,PAW,3.06,3.99771,3.30035,0.69735,-5.99,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C(C=C1)=CC=C1C(F)(F)C2=CSC(=C2)\
3232,C12H4F8O2S2,C12H4F8O2S2,organic_polymer_crystal,28,5,VASP-5.X,PAW,2.95,3.92678,3.08457,0.84221,-5.68,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C1=CSC(=C1)C(F)(F)O\
3231,C14H4F8S4,C14H4F8S4,organic_polymer_crystal,30,4,VASP-5.X,PAW,0.99,4.3936,3.647,0.7465,-5.63,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C1=CSC(=C1)C(F)(F)C(=S)\
3230,C20H8F8S4,C20H8F8S4,organic_polymer_crystal,40,4,VASP-5.X,PAW,2.44,4.40909,3.60627,0.80282,-5.83,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(F)(F)C1=CSC(=C1)C(F)(F)C2=CSC(=C2)\
3229,C26H14N2O10S2,C26H14N2O10S2,organic_polymer_crystal,54,5,VASP-5.X,PAW,2.07,4.54639,3.5877,0.95869,-6.35,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),OC(C=C1)=CC=C1C(=O)C2=CSC(=C2)C(=O)NOC(=O)\
3228,C34H26N2O2S4,C34H26N2O2S4,organic_polymer_crystal,68,5,VASP-5.X,PAW,0.518,6.4749,5.44193,1.03297,-6.05,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(=S)C(=O)CCNC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2\
3227,C12H20O6,C12H20O6O2S4,organic_polymer_crystal,44,3,VASP-5.X,PAW,5.8,3.08542,2.68099,0.40443,-5.46,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(=O)OCCCCCO\
3226,C12H12N8O6S2,C12H12N8O6S2,organic_polymer_crystal,40,5,VASP-5.X,PAW,1.81,5.6141,4.0159,1.5982,-5.99,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(=O)NONC(=O)NC1=CSC(=C1)N\
3225,C10H18N2O6,C10H18N2O6S2,organic_polymer_crystal,38,4,VASP-5.X,PAW,4.19,3.68882,2.80461,0.88421,-5.44,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(=O)NOCCCCO\
3224,C8H10N6O8,C8H10N6O8,organic_polymer_crystal,32,4,VASP-5.X,PAW,3.69,4.67087,3.01196,1.65891,-6.22,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(=O)NC(=O)OC(=O)NCN\
3223,C14H12N8O6S2,C14H12N8O6S2,organic_polymer_crystal,42,5,VASP-5.X,PAW,2.22,5.34144,3.9192,1.42224,-6.29,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(=O)NC(=O)NC(=O)NC1=CSC(=C1)N\
3222,C10H18N6O4,C10H18N6O4S2,organic_polymer_crystal,40,4,VASP-5.X,PAW,4.29,4.19413,3.06221,1.13192,-5.77,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(=O)NC(=O)NCCCN\
3221,C8H10N6O8,C8H10N6O8,organic_polymer_crystal,32,4,VASP-5.X,PAW,3.34,5.01792,3.17951,1.83841,-6.1,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(=O)NC(=O)CNC(=O)ON\
3220,C28H16N4O4S8,C28H16N4O4S8,organic_polymer_crystal,60,5,VASP-5.X,PAW,1.54,5.35477,4.08914,1.26562,-6.53,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),C(=O)C1=CSC(=C1)NC(=S)OC2=CSC(=C2)NC3=CSC(=C3)\
3219,C10H20N4O4,C10H20N4O4S8,organic_polymer_crystal,46,4,VASP-5.X,PAW,4.94,3.66568,2.79078,0.87491,-5.49,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),COC(=O)NCCNC\
3218,C10H20O6,C10H20O6O4,organic_polymer_crystal,40,3,VASP-5.X,PAW,5.3,3.50975,2.75185,0.7579,-5.22,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),COCOCCCO\
3217,C12H24O4,C12H24O4,organic_polymer_crystal,40,3,VASP-5.X,PAW,5.18,3.05534,2.57375,0.48159,-5.19,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),COCOCCCC\
3216,C6H10N6O8,C6H10N6O8,organic_polymer_crystal,30,4,VASP-5.X,PAW,3.98,4.64697,3.10068,1.54629,-5.82,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),CNC(=O)ONC(=O)NO\
3215,C8H16N4O6,C8H16N4O6,organic_polymer_crystal,34,4,VASP-5.X,PAW,4.66,4.22202,2.85035,1.37167,-5.58,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),CNC(=O)NCOCO\
3214,C8H16N8O4,C8H16N8O4,organic_polymer_crystal,36,4,VASP-5.X,PAW,3.61,3.91757,2.81591,1.10167,-5.82,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),CNCNC(=O)NC(=O)N\
3213,C10H22N2O4,C10H22N2O4,organic_polymer_crystal,38,4,VASP-5.X,PAW,5.03,3.54004,2.76101,0.77904,-5.21,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),CNCCCOCO\
3212,C20H20N4O2S4,C20H20N4O2S4,organic_polymer_crystal,50,5,VASP-5.X,PAW,1.34,5.17204,4.18918,0.98286,-5.81,,,,Huan Tran (huan.tran@uconn.edu), Arun Mannodi-Kanakkithodi (mannodiarun@gmail.com),CCOC(=S)NC(=S)C(C=C1)=CC=C1N\
