14day,wavenumber,intensity,,28 day,wavenumber,intensity
,3931.09,0,,,3931.09,0
,3930.61,0,,,3930.61,0
,3930.12,0,,,3930.12,0
,3929.63,0,,,3929.63,0
,3929.15,0,,,3929.15,0
,3928.66,0,,,3928.66,0
,3928.17,0,,,3928.17,0
,3927.69,0,,,3927.69,0
,3927.2,0,,,3927.2,0
,3926.71,0,,,3926.71,0
,3926.23,0,,,3926.23,0
,3925.74,0,,,3925.74,0
,3925.25,0,,,3925.25,0
,3924.76,0,,,3924.76,0
,3924.28,0,,,3924.28,0
,3923.79,0,,,3923.79,0
,3923.3,0,,,3923.3,0
,3922.81,0,,,3922.81,0
,3922.33,0,,,3922.33,0
,3921.84,0,,,3921.84,0
,3921.35,0,,,3921.35,0
,3920.86,0,,,3920.86,0
,3920.38,0,,,3920.38,0
,3919.89,0,,,3919.89,0
,3919.4,0,,,3919.4,0
,3918.91,0,,,3918.91,0
,3918.42,0,,,3918.42,0
,3917.94,0,,,3917.94,0
,3917.45,0,,,3917.45,0
,3916.96,0,,,3916.96,0
,3916.47,0,,,3916.47,0
,3915.98,0,,,3915.98,0
,3915.49,0,,,3915.49,0
,3915,0,,,3915,0
,3914.52,0,,,3914.52,0
,3914.03,0,,,3914.03,0
,3913.54,0,,,3913.54,0
,3913.05,0,,,3913.05,0
,3912.56,0,,,3912.56,0
,3912.07,0,,,3912.07,0
,3911.58,0,,,3911.58,0
,3911.09,0,,,3911.09,0
,3910.6,0,,,3910.6,0
,3910.11,0,,,3910.11,0
,3909.62,0,,,3909.62,0
,3909.14,0,,,3909.14,0
,3908.65,0,,,3908.65,0
,3908.16,0,,,3908.16,0
,3907.67,0,,,3907.67,0
,3907.18,0,,,3907.18,0
,3906.69,0,,,3906.69,0
,3906.2,0,,,3906.2,0
,3905.71,0,,,3905.71,0
,3905.22,0,,,3905.22,0
,3904.73,0,,,3904.73,0
,3904.24,0,,,3904.24,0
,3903.75,0,,,3903.75,0
,3903.26,0,,,3903.26,0
,3902.77,0,,,3902.77,0
,3902.27,0,,,3902.27,0
,3901.78,0,,,3901.78,0
,3901.29,0,,,3901.29,0
,3900.8,0,,,3900.8,0
,3900.31,0,,,3900.31,0
,3899.82,0,,,3899.82,0
,3899.33,0,,,3899.33,0
,3898.84,0,,,3898.84,0
,3898.35,0,,,3898.35,0
,3897.86,0,,,3897.86,0
,3897.37,0,,,3897.37,0
,3896.87,0,,,3896.87,0
,3896.38,0,,,3896.38,0
,3895.89,0,,,3895.89,0
,3895.4,0,,,3895.4,0
,3894.91,0,,,3894.91,0
,3894.42,0,,,3894.42,0
,3893.93,0,,,3893.93,0
,3893.43,0,,,3893.43,0
,3892.94,0,,,3892.94,0
,3892.45,0,,,3892.45,0
,3891.96,0,,,3891.96,0
,3891.47,0,,,3891.47,0
,3890.97,0,,,3890.97,0
,3890.48,0,,,3890.48,0
,3889.99,0,,,3889.99,0
,3889.5,0,,,3889.5,0
,3889.01,0,,,3889.01,0
,3888.51,0,,,3888.51,0
,3888.02,0,,,3888.02,0
,3887.53,0,,,3887.53,0
,3887.03,0,,,3887.03,0
,3886.54,0,,,3886.54,0
,3886.05,0,,,3886.05,0
,3885.56,0,,,3885.56,0
,3885.06,0,,,3885.06,0
,3884.57,0,,,3884.57,0
,3884.08,0,,,3884.08,0
,3883.58,0,,,3883.58,0
,3883.09,0,,,3883.09,0
,3882.6,0,,,3882.6,0
,3882.1,0,,,3882.1,0
,3881.61,0,,,3881.61,0
,3881.12,0,,,3881.12,0
,3880.62,0,,,3880.62,0
,3880.13,0,,,3880.13,0
,3879.64,0,,,3879.64,0
,3879.14,0,,,3879.14,0
,3878.65,0,,,3878.65,0
,3878.15,0,,,3878.15,0
,3877.66,0,,,3877.66,0
,3877.17,0,,,3877.17,0
,3876.67,0,,,3876.67,0
,3876.18,0,,,3876.18,0
,3875.68,0,,,3875.68,0
,3875.19,0,,,3875.19,0
,3874.7,0,,,3874.7,0
,3874.2,0,,,3874.2,0
,3873.71,0,,,3873.71,0
,3873.21,0,,,3873.21,0
,3872.72,0,,,3872.72,0
,3872.22,0,,,3872.22,0
,3871.73,0,,,3871.73,0
,3871.23,0,,,3871.23,0
,3870.74,0,,,3870.74,0
,3870.24,0,,,3870.24,0
,3869.75,0,,,3869.75,0
,3869.25,0,,,3869.25,0
,3868.76,0,,,3868.76,0
,3868.26,0,,,3868.26,0
,3867.77,0,,,3867.77,0
,3867.27,0,,,3867.27,0
,3866.77,0,,,3866.77,0
,3866.28,0,,,3866.28,0
,3865.78,0,,,3865.78,0
,3865.29,0,,,3865.29,0
,3864.79,0,,,3864.79,0
,3864.3,0,,,3864.3,0
,3863.8,0,,,3863.8,0
,3863.3,0,,,3863.3,0
,3862.81,0,,,3862.81,0
,3862.31,0,,,3862.31,0
,3861.81,0,,,3861.81,0
,3861.32,0,,,3861.32,0
,3860.82,0,,,3860.82,0
,3860.33,0,,,3860.33,0
,3859.83,0,,,3859.83,0
,3859.33,0,,,3859.33,0
,3858.84,0,,,3858.84,0
,3858.34,0,,,3858.34,0
,3857.84,0,,,3857.84,0
,3857.35,0,,,3857.35,0
,3856.85,0,,,3856.85,0
,3856.35,0,,,3856.35,0
,3855.85,0,,,3855.85,0
,3855.36,0,,,3855.36,0
,3854.86,0,,,3854.86,0
,3854.36,0,,,3854.36,0
,3853.86,0,,,3853.86,0
,3853.37,0,,,3853.37,0
,3852.87,0,,,3852.87,0
,3852.37,0,,,3852.37,0
,3851.87,0,,,3851.87,0
,3851.38,0,,,3851.38,0
,3850.88,0,,,3850.88,0
,3850.38,0,,,3850.38,0
,3849.88,0,,,3849.88,0
,3849.38,0,,,3849.38,0
,3848.89,0,,,3848.89,0
,3848.39,0,,,3848.39,0
,3847.89,0,,,3847.89,0
,3847.39,0,,,3847.39,0
,3846.89,0,,,3846.89,0
,3846.39,0,,,3846.39,0
,3845.9,0,,,3845.9,0
,3845.4,0,,,3845.4,0
,3844.9,0,,,3844.9,0
,3844.4,0,,,3844.4,0
,3843.9,0,,,3843.9,0
,3843.4,0,,,3843.4,0
,3842.9,0,,,3842.9,0
,3842.4,0,,,3842.4,0
,3841.91,0,,,3841.91,0
,3841.41,0,,,3841.41,0
,3840.91,0,,,3840.91,0
,3840.41,0,,,3840.41,0
,3839.91,0,,,3839.91,0
,3839.41,0,,,3839.41,0
,3838.91,0,,,3838.91,0
,3838.41,0,,,3838.41,0
,3837.91,0,,,3837.91,0
,3837.41,0,,,3837.41,0
,3836.91,0,,,3836.91,0
,3836.41,0,,,3836.41,0
,3835.91,0,,,3835.91,0
,3835.41,0,,,3835.41,0
,3834.91,0,,,3834.91,0
,3834.41,0,,,3834.41,0
,3833.91,0,,,3833.91,0
,3833.41,0,,,3833.41,0
,3832.91,0,,,3832.91,0
,3832.41,0,,,3832.41,0
,3831.91,0,,,3831.91,0
,3831.41,0,,,3831.41,0
,3830.91,0,,,3830.91,0
,3830.4,0,,,3830.4,0
,3829.9,0,,,3829.9,0
,3829.4,0,,,3829.4,0
,3828.9,0,,,3828.9,0
,3828.4,0,,,3828.4,0
,3827.9,0,,,3827.9,0
,3827.4,0,,,3827.4,0
,3826.9,0,,,3826.9,0
,3826.4,0,,,3826.4,0
,3825.89,0,,,3825.89,0
,3825.39,0,,,3825.39,0
,3824.89,0,,,3824.89,0
,3824.39,0,,,3824.39,0
,3823.89,0,,,3823.89,0
,3823.39,0,,,3823.39,0
,3822.88,0,,,3822.88,0
,3822.38,0,,,3822.38,0
,3821.88,0,,,3821.88,0
,3821.38,0,,,3821.38,0
,3820.88,0,,,3820.88,0
,3820.37,0,,,3820.37,0
,3819.87,0,,,3819.87,0
,3819.37,0,,,3819.37,0
,3818.87,0,,,3818.87,0
,3818.36,0,,,3818.36,0
,3817.86,0,,,3817.86,0
,3817.36,0,,,3817.36,0
,3816.86,0,,,3816.86,0
,3816.35,0,,,3816.35,0
,3815.85,0,,,3815.85,0
,3815.35,0,,,3815.35,0
,3814.84,0,,,3814.84,0
,3814.34,0,,,3814.34,0
,3813.84,0,,,3813.84,0
,3813.33,0,,,3813.33,0
,3812.83,0,,,3812.83,0
,3812.33,0,,,3812.33,0
,3811.82,0,,,3811.82,0
,3811.32,0,,,3811.32,0
,3810.82,0,,,3810.82,0
,3810.31,0,,,3810.31,0
,3809.81,0,,,3809.81,0
,3809.31,0,,,3809.31,0
,3808.8,0,,,3808.8,0
,3808.3,0,,,3808.3,0
,3807.79,0,,,3807.79,0
,3807.29,0,,,3807.29,0
,3806.79,0,,,3806.79,0
,3806.28,0,,,3806.28,0
,3805.78,0,,,3805.78,0
,3805.27,0,,,3805.27,0
,3804.77,0,,,3804.77,0
,3804.26,0,,,3804.26,0
,3803.76,0,,,3803.76,0
,3803.25,0,,,3803.25,0
,3802.75,0,,,3802.75,0
,3802.24,0,,,3802.24,0
,3801.74,0,,,3801.74,0
,3801.23,0,,,3801.23,0
,3800.73,0,,,3800.73,0
,3800.22,0,,,3800.22,0
,3799.72,0,,,3799.72,0
,3799.21,0,,,3799.21,0
,3798.71,0,,,3798.71,0
,3798.2,0,,,3798.2,0
,3797.7,0,,,3797.7,0
,3797.19,0,,,3797.19,0
,3796.69,0,,,3796.69,0
,3796.18,0,,,3796.18,0
,3795.67,0,,,3795.67,0
,3795.17,0,,,3795.17,0
,3794.66,0,,,3794.66,0
,3794.16,0,,,3794.16,0
,3793.65,0,,,3793.65,0
,3793.14,0,,,3793.14,0
,3792.64,0,,,3792.64,0
,3792.13,0,,,3792.13,0
,3791.63,0,,,3791.63,0
,3791.12,0,,,3791.12,0
,3790.61,0,,,3790.61,0
,3790.11,0,,,3790.11,0
,3789.6,0,,,3789.6,0
,3789.09,0,,,3789.09,0
,3788.59,0,,,3788.59,0
,3788.08,0,,,3788.08,0
,3787.57,0,,,3787.57,0
,3787.06,0,,,3787.06,0
,3786.56,0,,,3786.56,0
,3786.05,0,,,3786.05,0
,3785.54,0,,,3785.54,0
,3785.04,0,,,3785.04,0
,3784.53,0,,,3784.53,0
,3784.02,0,,,3784.02,0
,3783.51,0,,,3783.51,0
,3783.01,0,,,3783.01,0
,3782.5,0,,,3782.5,0
,3781.99,0,,,3781.99,0
,3781.48,0,,,3781.48,0
,3780.97,0,,,3780.97,0
,3780.47,0,,,3780.47,0
,3779.96,0,,,3779.96,0
,3779.45,0,,,3779.45,0
,3778.94,0,,,3778.94,0
,3778.43,0,,,3778.43,0
,3777.93,0,,,3777.93,0
,3777.42,0,,,3777.42,0
,3776.91,0,,,3776.91,0
,3776.4,0,,,3776.4,0
,3775.89,0,,,3775.89,0
,3775.38,0,,,3775.38,0
,3774.87,0,,,3774.87,0
,3774.36,0,,,3774.36,0
,3773.86,0,,,3773.86,0
,3773.35,0,,,3773.35,0
,3772.84,0,,,3772.84,0
,3772.33,0,,,3772.33,0
,3771.82,0,,,3771.82,0
,3771.31,0,,,3771.31,0
,3770.8,0,,,3770.8,0
,3770.29,0,,,3770.29,0
,3769.78,0,,,3769.78,0
,3769.27,0,,,3769.27,0
,3768.76,0,,,3768.76,0
,3768.25,0,,,3768.25,0
,3767.74,0,,,3767.74,0
,3767.23,0,,,3767.23,0
,3766.72,0,,,3766.72,0
,3766.21,0,,,3766.21,0
,3765.7,0,,,3765.7,0
,3765.19,0,,,3765.19,0
,3764.68,0,,,3764.68,0
,3764.17,0,,,3764.17,0
,3763.66,0,,,3763.66,0
,3763.15,0,,,3763.15,0
,3762.64,0,,,3762.64,0
,3762.13,0,,,3762.13,0
,3761.62,0,,,3761.62,0
,3761.11,0,,,3761.11,0
,3760.6,0,,,3760.6,0
,3760.09,0,,,3760.09,0
,3759.57,0,,,3759.57,0
,3759.06,0,,,3759.06,0
,3758.55,0,,,3758.55,0
,3758.04,0,,,3758.04,0
,3757.53,0,,,3757.53,0
,3757.02,0,,,3757.02,0
,3756.51,0,,,3756.51,0
,3756,0,,,3756,0
,3755.48,0,,,3755.48,0
,3754.97,0,,,3754.97,0
,3754.46,0,,,3754.46,0
,3753.95,0,,,3753.95,0
,3753.44,0,,,3753.44,0
,3752.92,0,,,3752.92,0
,3752.41,0,,,3752.41,0
,3751.9,0,,,3751.9,0
,3751.39,0,,,3751.39,0
,3750.88,0,,,3750.88,0
,3750.36,0,,,3750.36,0
,3749.85,0,,,3749.85,0
,3749.34,0,,,3749.34,0
,3748.83,0,,,3748.83,0
,3748.31,0,,,3748.31,0
,3747.8,0,,,3747.8,0
,3747.29,0,,,3747.29,0
,3746.78,0,,,3746.78,0
,3746.26,0,,,3746.26,0
,3745.75,0,,,3745.75,0
,3745.24,0,,,3745.24,0
,3744.72,0,,,3744.72,0
,3744.21,0,,,3744.21,0
,3743.7,0,,,3743.7,0
,3743.18,0,,,3743.18,0
,3742.67,0,,,3742.67,0
,3742.16,0,,,3742.16,0
,3741.64,0,,,3741.64,0
,3741.13,0,,,3741.13,0
,3740.61,0,,,3740.61,0
,3740.1,0,,,3740.1,0
,3739.59,0,,,3739.59,0
,3739.07,0,,,3739.07,0
,3738.56,0,,,3738.56,0
,3738.04,0,,,3738.04,0
,3737.53,0,,,3737.53,0
,3737.02,0,,,3737.02,0
,3736.5,0,,,3736.5,0
,3735.99,0,,,3735.99,0
,3735.47,0,,,3735.47,0
,3734.96,0,,,3734.96,0
,3734.44,0,,,3734.44,0
,3733.93,0,,,3733.93,0
,3733.41,0,,,3733.41,0
,3732.9,0,,,3732.9,0
,3732.38,0,,,3732.38,0
,3731.87,0,,,3731.87,0
,3731.35,0,,,3731.35,0
,3730.84,0,,,3730.84,0
,3730.32,0,,,3730.32,0
,3729.81,0,,,3729.81,0
,3729.29,0,,,3729.29,0
,3728.78,0,,,3728.78,0
,3728.26,0,,,3728.26,0
,3727.75,0,,,3727.75,0
,3727.23,0,,,3727.23,0
,3726.71,0,,,3726.71,0
,3726.2,0,,,3726.2,0
,3725.68,0,,,3725.68,0
,3725.17,0,,,3725.17,0
,3724.65,0,,,3724.65,0
,3724.13,0,,,3724.13,0
,3723.62,0,,,3723.62,0
,3723.1,0,,,3723.1,0
,3722.59,0,,,3722.59,0
,3722.07,0,,,3722.07,0
,3721.55,0,,,3721.55,0
,3721.04,0,,,3721.04,0
,3720.52,0,,,3720.52,0
,3720,0,,,3720,0
,3719.49,0,,,3719.49,0
,3718.97,0,,,3718.97,0
,3718.45,0,,,3718.45,0
,3717.93,0,,,3717.93,0
,3717.42,0,,,3717.42,0
,3716.9,0,,,3716.9,0
,3716.38,0,,,3716.38,0
,3715.87,0,,,3715.87,0
,3715.35,0,,,3715.35,0
,3714.83,0,,,3714.83,0
,3714.31,0,,,3714.31,0
,3713.8,0,,,3713.8,0
,3713.28,0,,,3713.28,0
,3712.76,0,,,3712.76,0
,3712.24,0,,,3712.24,0
,3711.72,0,,,3711.72,0
,3711.21,0,,,3711.21,0
,3710.69,0,,,3710.69,0
,3710.17,0,,,3710.17,0
,3709.65,0,,,3709.65,0
,3709.13,0,,,3709.13,0
,3708.61,0,,,3708.61,0
,3708.1,0,,,3708.1,0
,3707.58,0,,,3707.58,0
,3707.06,0,,,3707.06,0
,3706.54,0,,,3706.54,0
,3706.02,0,,,3706.02,0
,3705.5,0,,,3705.5,0
,3704.98,0,,,3704.98,0
,3704.46,0,,,3704.46,0
,3703.95,0,,,3703.95,0
,3703.43,0,,,3703.43,0
,3702.91,0,,,3702.91,0
,3702.39,0,,,3702.39,0
,3701.87,0,,,3701.87,0
,3701.35,0,,,3701.35,0
,3700.83,0,,,3700.83,0
,3700.31,0,,,3700.31,0
,3699.79,0,,,3699.79,0
,3699.27,0,,,3699.27,0
,3698.75,0,,,3698.75,0
,3698.23,0,,,3698.23,0
,3697.71,0,,,3697.71,0
,3697.19,0,,,3697.19,0
,3696.67,0,,,3696.67,0
,3696.15,0,,,3696.15,0
,3695.63,0,,,3695.63,0
,3695.11,0,,,3695.11,0
,3694.59,0,,,3694.59,0
,3694.07,0,,,3694.07,0
,3693.55,0,,,3693.55,0
,3693.03,0,,,3693.03,0
,3692.51,0,,,3692.51,0
,3691.99,0,,,3691.99,0
,3691.46,0,,,3691.46,0
,3690.94,0,,,3690.94,0
,3690.42,0,,,3690.42,0
,3689.9,0,,,3689.9,0
,3689.38,0,,,3689.38,0
,3688.86,0,,,3688.86,0
,3688.34,0,,,3688.34,0
,3687.82,0,,,3687.82,0
,3687.29,0,,,3687.29,0
,3686.77,0,,,3686.77,0
,3686.25,0,,,3686.25,0
,3685.73,0,,,3685.73,0
,3685.21,0,,,3685.21,0
,3684.69,0,,,3684.69,0
,3684.16,0,,,3684.16,0
,3683.64,0,,,3683.64,0
,3683.12,0,,,3683.12,0
,3682.6,0,,,3682.6,0
,3682.08,0,,,3682.08,0
,3681.55,0,,,3681.55,0
,3681.03,0,,,3681.03,0
,3680.51,0,,,3680.51,0
,3679.99,0,,,3679.99,0
,3679.46,0,,,3679.46,0
,3678.94,0,,,3678.94,0
,3678.42,0,,,3678.42,0
,3677.89,0,,,3677.89,0
,3677.37,0,,,3677.37,0
,3676.85,0,,,3676.85,0
,3676.33,0,,,3676.33,0
,3675.8,0,,,3675.8,0
,3675.28,0,,,3675.28,0
,3674.76,0,,,3674.76,0
,3674.23,0,,,3674.23,0
,3673.71,0,,,3673.71,0
,3673.19,0,,,3673.19,0
,3672.66,0,,,3672.66,0
,3672.14,0,,,3672.14,0
,3671.61,0,,,3671.61,0
,3671.09,0,,,3671.09,0
,3670.57,0,,,3670.57,0
,3670.04,0,,,3670.04,0
,3669.52,0,,,3669.52,0
,3668.99,0,,,3668.99,0
,3668.47,0,,,3668.47,0
,3667.95,0,,,3667.95,0
,3667.42,0,,,3667.42,0
,3666.9,0,,,3666.9,0
,3666.37,0,,,3666.37,0
,3665.85,0,,,3665.85,0
,3665.32,0,,,3665.32,0
,3664.8,0,,,3664.8,0
,3664.27,0,,,3664.27,0
,3663.75,0,,,3663.75,0
,3663.22,0,,,3663.22,0
,3662.7,0,,,3662.7,0
,3662.17,0,,,3662.17,0
,3661.65,0,,,3661.65,0
,3661.12,0,,,3661.12,0
,3660.6,0,,,3660.6,0
,3660.07,0,,,3660.07,0
,3659.55,0,,,3659.55,0
,3659.02,0,,,3659.02,0
,3658.49,0,,,3658.49,0
,3657.97,0,,,3657.97,0
,3657.44,0,,,3657.44,0
,3656.92,0,,,3656.92,0
,3656.39,0,,,3656.39,0
,3655.86,0,,,3655.86,0
,3655.34,0,,,3655.34,0
,3654.81,0,,,3654.81,0
,3654.29,0,,,3654.29,0
,3653.76,0,,,3653.76,0
,3653.23,0,,,3653.23,0
,3652.71,0,,,3652.71,0
,3652.18,0,,,3652.18,0
,3651.65,0,,,3651.65,0
,3651.13,0,,,3651.13,0
,3650.6,0,,,3650.6,0
,3650.07,0,,,3650.07,0
,3649.55,0,,,3649.55,0
,3649.02,0,,,3649.02,0
,3648.49,0,,,3648.49,0
,3647.96,0,,,3647.96,0
,3647.44,0,,,3647.44,0
,3646.91,0,,,3646.91,0
,3646.38,0,,,3646.38,0
,3645.85,0,,,3645.85,0
,3645.33,0,,,3645.33,0
,3644.8,0,,,3644.8,0
,3644.27,0,,,3644.27,0
,3643.74,0,,,3643.74,0
,3643.22,0,,,3643.22,0
,3642.69,0,,,3642.69,0
,3642.16,0,,,3642.16,0
,3641.63,0,,,3641.63,0
,3641.1,0,,,3641.1,0
,3640.57,0,,,3640.57,0
,3640.05,0,,,3640.05,0
,3639.52,0,,,3639.52,0
,3638.99,0,,,3638.99,0
,3638.46,0,,,3638.46,0
,3637.93,0,,,3637.93,0
,3637.4,0,,,3637.4,0
,3636.87,0,,,3636.87,0
,3636.35,0,,,3636.35,0
,3635.82,0,,,3635.82,0
,3635.29,0,,,3635.29,0
,3634.76,0,,,3634.76,0
,3634.23,0,,,3634.23,0
,3633.7,0,,,3633.7,0
,3633.17,0,,,3633.17,0
,3632.64,0,,,3632.64,0
,3632.11,0,,,3632.11,0
,3631.58,0,,,3631.58,0
,3631.05,0,,,3631.05,0
,3630.52,0,,,3630.52,0
,3629.99,0,,,3629.99,0
,3629.46,0,,,3629.46,0
,3628.93,0,,,3628.93,0
,3628.4,0,,,3628.4,0
,3627.87,0,,,3627.87,0
,3627.34,0,,,3627.34,0
,3626.81,0,,,3626.81,0
,3626.28,0,,,3626.28,0
,3625.75,0,,,3625.75,0
,3625.22,0,,,3625.22,0
,3624.69,0,,,3624.69,0
,3624.16,0,,,3624.16,0
,3623.63,0,,,3623.63,0
,3623.1,0,,,3623.1,0
,3622.57,0,,,3622.57,0
,3622.03,0,,,3622.03,0
,3621.5,0,,,3621.5,0
,3620.97,0,,,3620.97,0
,3620.44,0,,,3620.44,0
,3619.91,0,,,3619.91,0
,3619.38,0,,,3619.38,0
,3618.85,0,,,3618.85,0
,3618.32,0,,,3618.32,0
,3617.78,0,,,3617.78,0
,3617.25,0,,,3617.25,0
,3616.72,0,,,3616.72,0
,3616.19,0,,,3616.19,0
,3615.66,0,,,3615.66,0
,3615.12,0,,,3615.12,0
,3614.59,0,,,3614.59,0
,3614.06,0,,,3614.06,0
,3613.53,0,,,3613.53,0
,3613,0,,,3613,0
,3612.46,0,,,3612.46,0
,3611.93,0,,,3611.93,0
,3611.4,0,,,3611.4,0
,3610.86,0,,,3610.86,0
,3610.33,0,,,3610.33,0
,3609.8,0,,,3609.8,0
,3609.27,0,,,3609.27,0
,3608.73,0,,,3608.73,0
,3608.2,0,,,3608.2,0
,3607.67,0,,,3607.67,0
,3607.13,0,,,3607.13,0
,3606.6,0,,,3606.6,0
,3606.07,0,,,3606.07,0
,3605.53,0,,,3605.53,0
,3605,0,,,3605,0
,3604.47,0,,,3604.47,0
,3603.93,0,,,3603.93,0
,3603.4,0,,,3603.4,0
,3602.87,0,,,3602.87,0
,3602.33,0,,,3602.33,0
,3601.8,0,,,3601.8,0
,3601.26,0,,,3601.26,0
,3600.73,0,,,3600.73,0
,3600.2,0,,,3600.2,0
,3599.66,0,,,3599.66,0
,3599.13,0,,,3599.13,0
,3598.59,0,,,3598.59,0
,3598.06,0,,,3598.06,0
,3597.52,0,,,3597.52,0
,3596.99,0,,,3596.99,0
,3596.45,0,,,3596.45,0
,3595.92,0,,,3595.92,0
,3595.38,0,,,3595.38,0
,3594.85,0,,,3594.85,0
,3594.31,0,,,3594.31,0
,3593.78,0,,,3593.78,0
,3593.24,0,,,3593.24,0
,3592.71,0,,,3592.71,0
,3592.17,0,,,3592.17,0
,3591.64,0,,,3591.64,0
,3591.1,0,,,3591.1,0
,3590.57,0,,,3590.57,0
,3590.03,0,,,3590.03,0
,3589.49,0,,,3589.49,0
,3588.96,0,,,3588.96,0
,3588.42,0,,,3588.42,0
