polymer,synonyms,mol.weight,mp
"Poly[trans-1,4-cyclohexylene (trimethylenedithio)-diethylene-diurethane]",,362.5,202.0
"Poly(1,4-cylclohexylene urethane)",,141.17,355.0
Poly(cyclohexylidenedimethylene oxide),,126.2,152.0
"Poly(3,4-dihydro-cyclohexylidenedimethylene oxide)",,124.18,102.0
"Poly(3,4-dihydro-4-methyl-cyclohexylidenedimethylene oxide)",,138.21,155.0
Poly(4-methyl-cyclohexylidenedimethylene oxide),,140.23,165.0
"Poly(4,4'cyclohexylidenediphenylene carbonate)",,294.35,260.0
"Poly(2,2'-dimethyl-4,4'cyclohexylidenediphenylene carbonate)",,322.4,200.0
"Poly(3,3',5,5'-tetrachloro-4,4'cyclohexylidenediphenylene carbonate)",,427.09,270.0
Poly(cyclohexylidenethiohexamethylene sulfide),,230.44,75.0
"Poly(4,4'-cyclopentylidenediphenylene carbonate)",,280.32,250.0
Poly(cyclopropylene cyclopropylenedicarboxamide),,166.18,285.0
Poly[trans-cyclopropylene(cyclopropylenedicarboxoyl)-diurethane],,254.2,245.0
Poly(cyclopropylenedimethylene cyclopropylenedicarboxamide),,194.23,220.0
Poly(cis-cyclopropylenedimethylene cyclopropylenediurethane),,226.23,175.0
Poly(trans-cyclopropylenedimethylene cyclopropylenediurethane),,226.23,210.0
Poly(cis-cyclopropylenedimethylene hexamethylenediurethane),,270.33,120.0
Poly(trans-cyclopropylenedimethylene hexamethylenediurethane),,270.33,165.0
Poly(cyclopropylenedimethylene isophthalamide),,230.27,220.0
Poly(cyclopropylenedimethylene isophthalate),,232.24,100.0
"Poly[cis-cyclopropylenedimethylene 4,4'-(methylenediphenylene)-diurethane]",,352.39,230.0
"Poly[trans-cyclopropylenedimethylene 4,4'-(methylenediphenylene)-diurethane]",,352.39,290.0
Poly(cis-cyclopropylenedimethylene piperazinediurethane),,240.26,70.0
Poly(trans-cyclopropylenedimethylene piperazinediurethane),,240.26,100.0
Poly(cyclopropylenedimethylene sebacamide),,266.38,223.0
Poly(cyclopropylenedimethylene terephthalate),,232.24,130.0
Poly(cis-cyclopropylenedimethylene toluylenediurethane),,276.29,170.0
Poly(trans-cyclopropylenedimethylene toluylenediurethane),,276.29,200.0
Poly(cyclopropylene hexamethylenediurea),,240.31,180.0
Poly(cyclopropylene isophthalamide),,202.21,250.0
Poly(cyclopropylene piperazinediurea),,210.24,260.0
Poly(cyclopropylene sebacamide),,238.33,220.0
Poly(cyclopropylidenedimethylene oxide),,84.12,45.0
"Poly(trans-1,2-dichlorodecamethylene)",,209.16,47.0
Poly(3-methyldecamethylene adipate) (diacid),,298.42,-2.0
"Poly[decamethylene N,N-adipolyldi(6-aminocaproate)]",,510.72,137.0
Poly(decamethylene adipoyldiurethane),,370.45,164.0
Poly(decamethyleneaminohexamethylene amine),,254.46,102.0
"Poly(decamethylene 3,3'-dimethyl-4,4'-biphenylenediurethane) (diisocyanate)",,438.57,219.0
Poly(decamethylene carbonate),,200.28,55.0
Poly(decamethylene m-carboxycarbanilate),,319.4,127.0
Poly(decamethylene p-carboxycarbanilate),,319.4,158.0
Poly[decamethylene (decamethylenedisulfonyl)-dicaproamide],,634.98,207.0
Poly(decamethylene decamethylenediurethane),,398.59,145.0
Poly(decamethylene decamethylenediurethane),,398.59,142.0
"Poly(decamethylene 2,2'-dibenzoate)",,380.48,-3.0
"Poly(decamethylene 3,3'-dibenzoate)",,380.48,90.0
"Poly(decamethylene 4,4'-dibenzoate)",,380.48,132.0
Poly[(decamethylenedioxy)-dihexamethylene oxide],,356.59,68.0
"Poly[4,4'''-(4',4''-(decamethylenedioxy)-diphenylenedioxy)-diphenylene terephthalate]",,672.78,242.0
"Poly[4,4'-(decamethylenedioxy)-diphenyleneoxy-p-xylylene oxide]",,460.62,211.0
"Poly[3,3'-(decamethylenedioxy)-diphenylene terephthalate]",,488.58,108.0
"Poly[4,4'-(decamethylenedioxy)-diphenylene terephthalate]",,488.58,259.0
"Poly[dichloro-4,4'-(decamethylenedioxy)-diphenylene terephthalate] (diol)",,557.47,160.0
"Poly(4,4'-decamethylenediphenylene carbonate)",,352.47,110.0
"Poly(4,4'-decamethylenediphenylene carbonate)",,352.47,150.0
Poly(tetramethyldecamethylene disiloxanylenedipropionamide) (silicone),,414.74,50.0
Poly(decamethylene disulfide),,204.39,45.0
Poly(decamethylene disulfide),,204.39,65.0
Poly(decamethylenedithioethylene disulfide),,296.56,80.0
Poly(decamethylenedithiohexamethylene disulfide),,352.67,46.0
Poly(decamethylene dithioladipate),,316.53,75.0
Poly(decamethylene dithiolsebacate),,372.63,103.0
Poly(decamethylene dithiolterephthalate),,336.52,201.0
Poly(decamethylenedithiotetramethylene disulfide),,324.62,56.0
Poly(decamethylenedithiotetramethylene disulfide),,324.62,58.0
Poly(decamethylene docosanediamide),,506.86,169.0
Poly(decamethylene dodecamethylenediurea),,424.67,190.0
Poly(decamethylene phthalamide),,302.42,115.0
Poly(decamethylene pimelate),,298.42,66.0
Poly(decamethylene dodecanediamide),,366.59,191.0
Poly(decamethylene dodecanediamide),,366.59,192.0
"Poly[decamethylene N,N'-dodecanedioyldi(p-aminobenzoate)]",,606.8,171.0
Poly(decamethylene eicosanediamide),,478.8,171.0
"Poly[decamethylene 4,4'-(ethylenedioxy)-dibenzoate]",,440.54,135.0
"Poly[decamethylene 4,4'-(ethylenediphenylene)-dioxydiacetamide]",,466.62,220.0
"Poly(decamethylene N,N'-ethylenediterephthalamate)",,494.59,277.0
"Poly(decamethylene 4,4'-ethylidenedibenzamide)",,406.57,150.0
Poly(decamethylene fumaramide),,252.36,50.0
"Poly(trans-2,3-dimethyl-decamethylene fumaramide) (diacid)",,280.41,267.0
Poly(methyldecamethylene fumaramide) (diacid),,266.38,166.0
"Poly(decamethylene 2,5-furandicarboxamide)",,292.38,130.0
"Poly(decamethylene 2,5-furandipropionamide)",,348.49,140.0
Poly(3-carboxyl-decamethylene glutaramide) (diacid),,312.41,70.0
Poly[decamethylene (hexamethylenedisulfonyl)-dicapromide],,578.87,218.0
"Poly(decamethylene N,N'-hexamethylenediterephthalamate)",,550.7,235.0
Poly(decamethylene hexamethylenediurea),,340.51,210.0
Poly(decamethylene hexamethylenediurea),,340.51,216.0
Poly(decamethylene isophthalamide),,302.42,186.0
Poly(decamethylene isophthalate),,304.39,36.0
"Poly[decamethylene 4,4'-(isopropylidenediphenylene)-dioxy-diacetamide]",,480.65,105.0
Poly(dodecyldecamethylene malonamide) (diacid),,408.67,123.0
Poly(decamethylene malonate),,242.32,34.0
"Poly(decamethylene 3,3'-methylenedibenzamide)",,392.54,65.0
"Poly(decamethylene 4,4'-methylenedibenzamide)",,392.54,100.0
"Poly(decamethylene 4,4'-methylenediphenylenediurea)",,422.57,246.0
"Poly[decamethylene (methylene-2,5-furan)-dicarboxamide]",,306.41,111.0
"Poly[decamethylene (methylene-2,5-tetrahydrofuran)-dicarboxamide]",,310.44,85.0
Poly[decamethylene octadecamethylenediurea),,508.84,172.0
Poly(decamethylene ocatadecanediamide),,450.75,170.0
Poly[decamethylene octamethylenediurea),,368.57,201.0
Poly[decamethylene octamethylenediurethane),,370.53,146.0
"Poly(2,5-decamethylene-1,3,4-oxadiazole)",,208.3,100.0
Poly(decamethylene oxamide),,226.32,229.0
Poly(decamethylene oxamide),,226.32,252.0
Poly(decamethylene oxamide),,226.32,290.0
Poly(decamethylene oxamide-alt-decamethylene sebacamide),,564.86,231.0
Poly(decamethylene oxydiacetate),,272.34,64.0
Poly(decamethyleneoxymethylene oxide),,186.3,57.0
Poly[decamethylene (pentamethylenedisulfonyl)-dicaproamide],,564.84,223.0
"Poly(decamethylene N,N'-pentamethylenediterephthalamate)",,536.67,205.0
Poly(decamethylene p-phenylenediacetamide),,330.47,242.0
Poly(decamethylene p-phenylenediacetamide),,330.47,265.0
Poly[decamethylene (p-phenylenedioxy)-diacetamide],,362.47,188.0
Poly(decamethylene p-phenylenedipropionamide),,358.53,265.0
Poly(decamethylene p-phenylenedipropionamide),,358.53,271.0
"Poly(P-methyl-decamethylene 3,3'-phosphinylidenedibenzamide)",,440.52,155.0
"Poly(P-methyl-decamethylene 4,4'-phosphinylidenedibenzamide)",,440.52,186.0
"Poly(P-phenyl-decamethylene 4,4'-phosphinylidenedibenzamide)",,502.59,192.0
"Poly(decamethylene 2,4-pyridinedicarboxamide)",,303.41,190.0
"Poly(decamethylene 2,5-pyridinedicarboxamide)",,303.41,232.0
"Poly(decamethylene 2,6-pyridinedicarboxamide)",,303.41,200.0
"Poly(1,4-dihydro-4-oxo-decamethylene 2,6-pyridinedicarboxamide)",,319.41,137.0
"Poly(decamethylene 3,5-pyridinedicarboxamide)",,303.41,210.0
Poly( 3-bromo-decamethylene pyromelltimide) (imide),,433.3,291.0
Poly(decamethylene sebacoyldiurethane),,426.55,153.0
Poly(decamethylene suberamide),,310.48,217.0
Poly(decamethylene suberamide),,310.48,208.0
"Poly(D-1,2-dihydroxydecamethylene succinate) (diacid)",,288.34,66.0
Poly(decamethylene sulfide),,172.33,78.0
Poly(decamethylene sulfide),,172.33,91.0
Poly(decamethylene sulfonyldivalerate),,404.56,101.0
Poly(decamethylene terephthalamide),,302.42,276.0
"Poly[decamethylene N,N'-terephthaloyldi(6-aminocaproate)]",,530.71,166.0
Poly(decamethylene tetradecamethylenediurea),,452.73,180.0
Poly(decamethylene tetradecanediamide),,394.64,189.0
"Poly(decamethylene 2,5-tetrahydrofurandipropionamide)",,352.52,178.0
Poly[decamethylene (tetramethylenedisulfonyl)-dicaproamide],,550.81,236.0
"Poly(decamethylene N,N'-tetramethylenediterephthalamate)",,522.64,261.0
Poly(decamethylene tetramethylenediurethane),,314.43,171.0
Poly(decamethylene thiodivalerate),,372.56,57.0
Poly(decamethylenethiohexamethylene sulfide),,288.55,78.0
"Poly(decamethylene 2,5-thiophenedicarboxamide)",,308.44,250.0
"Poly(1-amino-2,5-decamethylene-1,3,4-triazole) (triazole)",,222.34,242.0
Poly(decamethylenetridecanediamide),,380.62,175.0
"Poly(decamethylene N,N'-trimethylenediterephthalamate)",,508.61,222.0
Poly(decamethylene urea),,198.31,200.0
Poly(decamethylene urea),,198.31,197.0
Poly(decamethylene urea),,198.31,210.0
Poly(decamethylene p-xylylenediurea),,360.5,260.0
Poly(decamethylene p-xylylenediurethane),,362.47,147.0
Poly(decylvinyl ether),,184.32,7.0
"Poly[4,9-diphenyl-2,7-(1,6-diazanthrylene)-4,4'-biphenylene]",,482.58,498.0
"Poly[4,6-diphenyl2,8-(1,9-diazanthrylene)-4,4'-biphenylene]",,482.52,513.0
"Poly[4,9-diphenyl-2,7-(1,6-diazanthrylene)-4,4'-oxydiphenylene]",,498.58,490.0
"Poly[4,6-diphenyl-2,8-(1,9-diazanthrylene)-4,4'-oxydiphenylene]",,498.58,502.0
"Poly(di-1,4-naphthyleneoxyethylene oxide)",,312.37,291.0
"Poly(di-1,4-naphthyleneoxyheptamethylene oxide)",,382.5,239.0
"Poly(di-1,4-naphthyleneoxyhexamethylene oxide)",,368.48,280.0
"Poly(di-1,4-naphthyleneoxypentamethylene oxide)",,354.45,196.0
"Poly(di-1,4-naphthyleneoxytetramethylene oxide)",,340.42,324.0
"Poly(di-1,4-naphthyleneoxytrimethylene oxide)",,326.4,278.0
"Poly(trans-1,4-dioxanylene-2,5-dimethylene adipamide)",,256.3,291.0
"Poly(trans-1,4-dioxanylene-2,5-dimethylene sebacamide)",,312.41,262.0
Poly(dithiodiethylene sebacamide),,318.49,155.0
"Poly(4,4'-dithiodiphenylene hexamethylenediurea)",,416.56,262.0
Poly(divinylbenzal),,176.22,100.0
Poly(2-methyl-divinylbenzal),,190.24,95.0
Poly(4-methyl-divinylbenzal),,190.24,115.0
Poly(divinylfurfural),,166.18,145.0
"Poly( trans-1,2-dichloro-dodecamethylene)",,237.21,40.0
Poly(1-methyl-dodecamethylene),,182.35,30.0
Poly(dodecamethylene adipamide),,310.48,210.0
Poly(dodecamethylene adipamide),,310.48,230.0
"Poly[dodecamethylene N,N'-adipoyldi(6-aminocaproate)]",,538.77,134.0
"Poly(dodecamethylene 3,3'-dimethyl-4,4'-biphenylenediurethane) (diisocyanate)",,466.62,219.0
Poly(dodecamethylene decamethylenediurethane),,426.64,133.0
"Poly[4,4'-(dodecamethylenedioxy)-diphenyleneoxy-p-xylylene oxide]",,488.67,207.0
Poly(dodecamethylene docosanediamide),,534.92,164.0
Poly(dodecamethylene dodecamethylenediurethane),,454.7,128.0
Poly(dodecamethylene dodecanediamide),,394.64,183.0
"Poly[dodecamethylene N,N'-dodecanedioyldi(p-aminobenzoate)]",,634.86,167.0
"Poly(dodecamethylene N,N'-ethylenediterephthalamate)",,522.64,264.0
"Poly(dodecamethylene N,N'-hexamethylenediterephthalamate)",,578.75,231.0
Poly(dodecamethylene hexamethylenediurea),,368.57,205.0
Poly(dodecamethylene hexamethylenediurea),,368.57,238.0
Poly(dodecamethylene hexamethylenediurethane),,370.53,139.0
"Poly(dodecamethylene 4,4'-methylenediphenylenediurea)",,450.63,240.0
"Poly(dodecamethylene 4,4'-methylenediphenylenediurethane)",,452.59,164.0
Poly(dodecamethylene octadecanediamide),,478.8,167.0
Poly(dodecamethylene oxamide-alt-dodecamethylene sebacamide),,620.96,217.0
"Poly(dodecamethylene N,N'-pentamethylenediterephthalamate)",,564.72,206.0
Poly(dodecamethylene p-phenylenediacetamide),,358.53,256.0
Poly(dodecamethylene p-phenylenedipropionamide),,386.58,263.0
Poly(3-bromo-dodecamethylene pyromellitimide) (imide),,461.36,238.0
Poly(dodecamethylene terephthalamide),,330.47,296.0
Poly(dodecamethylene terephthalamide),,330.47,301.0
"Poly[dodecamethylene N,N'-terephthaloyldi(6-aminocaproate)]",,558.76,163.0
"Poly(dodecamethylene N,N'-tetramethylenediterephthalamate)",,550.7,258.0
"Poly(dodecamethylene N,N'-trimethylenediterephthalamate)",,536.67,216.0
Poly(dodecamethylene p-xylylenediurea),,388.56,258.0
Poly(dodecamethylene p-xylylenediurethane),,390.52,178.0
Poly(dodecanedioic anhydride),,212.29,87.0
Poly(dodecylvinyl ether),,212.38,30.0
Poly(eicosamethylene adipate),,424.67,87.0
Poly(3-methyl-eicosamethylene adipate) (diacid),,438.69,60.0
Poly(eicosamethylene azelate),,466.75,87.0
"Poly(eicosamethylene 3,3'-dibenzoate)",,520.76,91.0
"Poly(eicosamethylene 4,4'-dibenzoate)",,520.76,115.0
Poly(eicosamethylene glutarate),,410.64,80.0
Poly(3-(p-nitrophenyl)-eicosamethylene glutarate) (diacid),,531.74,46.0
Poly(eicosamethylene isophthalate),,444.66,49.0
Poly(eicosamethylene malonate),,382.58,69.0
Poly(eicosamethylene malonate),,382.58,69.0
Poly(eicosamethylene oxalate),,368.56,90.0
Poly(eicosamethylene oxydiacetate),,412.61,89.0
Poly(eicosamethylene phthalate),,444.66,52.0
Poly(eicosamethylene pimelate),,438.69,84.0
Poly(eicosamethylene sebacate),,480.78,92.0
Poly(eicosamethylene suberate),,452.72,88.0
Poly(eicosamethylene succinate),,396.61,89.0
Poly(eicosamethylene sulfonyldivalerate),,544.83,117.0
Poly(eicosamethylene terephthalate),,444.66,113.0
Poly(eicosamethylene thiodivalerate),,512.84,79.0
Poly(cis-1-butoxy-2-methylethylene),(erythro-di-isotactic),114.19,100.0
Poly(trans-1-butoxy-2-methylethylene),(threo-di-isotactic),114.19,100.0
Poly(cis-1-tert-butoxy-2-methylethylene),(erythro-di-isotactic),114.19,250.0
Poly(trans-1-ethoxy-2-methoxyethylene),,102.13,217.0
Poly(cis-1-ethoxy-2-methylethylene),(erythro-di-isotactic),86.13,191.0
Poly(cis-1-ethoxy-2-methylethylene),(erythro-di-isotactic),86.13,207.0
Poly(trans-1-ethoxy-2-methylethylene),(threo-di-isotactic),86.13,230.0
Poly(trans-1-ethoxy-2-methylethylene),(threo-di-isotactic),86.13,243.0
Poly(cis-1-isopropoxy-2-methylethylene),(erythro-di-isotactic),100.16,204.0
Poly(trans-1-isopropoxy-2-methylethylene),(threo-di-isotactic),100.16,211.0
Poly(cis- or trans-1-methoxy-2-methylethylene),(threo-di-isotactic),72.11,230.0
Poly(cis- or trans-1-methoxy-2-methylethylene),(threo-di-isotactic),72.11,287.0
Poly(cis- or trans-1-methoxy-2-methylethylene),(threo-di-isotactic),72.11,210.0
Poly( trans-1-methyl-2-propoxyethylene),,100.16,168.0
Poly(ethylene adipamide),,170.21,310.0
Poly(ethylene adipamide-alt-ethylene oxamide),,284.32,359.0
Poly(methylethylene adipate) (diol),,186.21,-20.0
"Poly[ethylene N,N'-adipoyldi(6-aminocaproate)]",,398.5,163.0
Poly(ethylene adipoyldiurethane),,258.23,210.0
Poly(N-acetyl-ethylene amine),,85.11,200.0
Poly(N-cyclohexanecarbonyl-ethylene amine),,153.22,285.0
Poly(N-dodecanoyl-ethylene amine),,225.38,155.0
Poly(N-2-naphthoyl-ethylene amine),,197.24,258.0
Poly(N-octadecanoyl-ethylene amine),,309.54,145.0
Poly(N-perfluorooctanoyl-ethylene amine),,439.12,245.0
Poly(N-perfluoropropionyl-ethylene amine),,189.08,216.0
Poly(N-pivaloyl-ethylene amine),,127.19,320.0
Poly(ethylene azelamide-alt-ethylene oxamide),,326.4,343.0
Poly(methyl-ethylene azelate) (diol),,228.29,-38.0
"Poly(4,4'-ethylenebiphenylene)",,180.25,550.0
Poly[ethylene p-(carboxyphenoxy)-acetate],,222.2,140.0
Poly[ethylene p-(carboxyphenoxy)-butyrate],,250.25,85.0
Poly[ethylene p-(carboxyphenoxy)-caproate],,278.3,45.0
Poly[ethylene p-(carboxyphenoxy)-heptanoate],,292.33,55.0
Poly[ethylene p-(carboxyphenoxy)-undecanoate],,348.44,65.0
Poly[ethylene p-(carboxyphenoxy)-valerate],,264.28,55.0
Poly[ethylene p-(carboxyphenylene)-acetamide],,204.23,221.0
"Poly(trans-ethylene 1,4-cyclohexylenedicarboxylate)",,198.22,120.0
Poly(trans-ethylene cyclopropylenedicarboxamide),,154.17,350.0
